No;Sumber;Tanggal;Judul;Berita
1;http://www.goal.com/id-ID/news/1391/indonesia-soccer-championship/2016/05/12/23425072/persib-bandung-waspadai-dua-pemain-asing-anyar-bali-united?ICID=OP;12-Mei-16;Persib Bandung Waspadai Dua Pemain Asing Anyar Bali United FC;"Persib Bandung bakal menjamu Bali United FC dalam lanjutan Torabika Soccer Championship (TSC) 2016 di Stadion Si Jalak Harupat, Soreang, Sabtu (14/5) nanti. Untuk itu, pelatih Persib, Dejan Antonic, terus mempersiapkan Atep dan kawan-kawan dengan maksimal.
Terlebih, menurut Dejan, Bali United kali ini memiliki kekuatan tambahan, yang membedakan dari beberapa pertemuan kedua tim sebelumnya. ""Ini akan menjadi pertandingan berbeda, dari tiga pertandingan sebelumnya Persib lawan Bali United. Di TSC, mereka mendatangkan dua pemain asing yang pastinya membahayakan buat Persib,"" kata Dejan.
Dua pemain asing baru Bali United yang dimaksud Dejan adalah Nemanja Vidakovic dan Ahn Byung Keon. Vidakovic memang saat ini menjadi juru gedor andalan tim Serdadu Tridatu. Hingga saat ini, dia sudah mencetak satu gol dari dua laga yang telah dijalani. 
Sedangkan Ahn Byung Keon, menambah kokoh lini pertahanan skuat yang dilatih Indra Sjafri itu. Hal itu terlihat saat bek asal Korea Selatan itu menjalani debut melawan Persipura Jayapura. ""Untuk itu, saya sudah siapkan formula berbeda di pertandingan nanti,"" tambah Dejan. 
""Kami optimistis bisa meraih kemenangan pada laga nanti,"" tutur pelatih asal Serbia itu.
"
2;http://www.goal.com/id-ID/news/1108/sepakbola-inggris/2016/05/12/23424682/tottenham-perbarui-kontrak-mauricio-pochettino?ICID=OP;12-Mei-16;Tottenham Perbarui Kontrak Mauricio Pochettino;"Rumor tentang ketertarikan Manchester United terhadap Mauricio Pochettino akhirnya tertepis setelah Tottenham Hotspur resmi memperpanjang kontrak sang pelatih.

Seperti yang diketahui, sebelumnya dikabarkan bahwa Pochettino melakukan pertemuan rahasia dengan mantan manajer Setan Merah, Sir Alex Ferguson.
Ditemani dengan asistennya, Jesus Perez, Pochettino dan Ferguson bertemu di sebuah restoran di Mayfair untuk makan siang bersama pada Selasa (10/5).
Tetapi suporter Tottenham akhirnya bisa bernafas lega setelah Pochettino resmi membubuhkan tanda tangan di kontrak baru yang akan membuatnya bertahan di White Hart Lane setidaknya hingga 2021 mendatang.

Spurs musim ini tampil sangat impresif dengan menempati posisi kedua klasemen Liga Primer Inggris, di bawah tim kejutan Leicester City yang menciptakan dongeng dengan menjadi juara.
"
3;http://www.goal.com/id-ID/news/1108/sepakbola-inggris/2016/05/12/23416942/raphael-varane-dalam-radar-manchester-united?ICID=OP;12-Mei-16;Raphael Varane Dalam Radar Manchester United;"Raksasa Liga Primer Inggris Manchester United akan kembali berupaya untuk merekrut bekReal Madrid Raphael Varane pada bursa transfer musim panas mendatang.
Dilaporkan oleh The Mirror, United tengah menyiapkan dana senilai œ25 juta (sekitar ?32 juta) untuk memboyong bek sentral asal Prancis itu ke Old Trafford.
Ini bukan pertama kali Varane dikaitkan dengan United. Pada 2011 silam, Setan Merah disebutkan serius memonitori Varane, namun manajer Sir Alex Ferguson ternyata lebih memilih memboyong Phil Jones dari Blackburn Rovers senilai œ16 juta.
Peluang Varane untuk hengkang dari Santiago Bernabeu terbuka lebar setelah ia sudah bukan menjadi pilihan utama pelatih Zinedine Zidane yang lebih suka menduetkan Sergio Ramos dan Pepe di jantung pertahanan Los Blancos.
Meski demikian, Varane punya pertimbangan dalam memilih destinasinya, terutama preferensi pada klub yang bermain di Liga Champions musim depan seiring United saat ini sedang harap-harap cemas mengejar target finis empat besar di Liga Primer Inggris.
"
4;http://www.goal.com/id-ID/news/784/transfer-pemain/2016/05/12/23409922/west-ham-united-siap-tawar-jamie-vardy?ICID=OP;12-Mei-16;West Ham United Siap Tawar Jamie Vardy;"West Ham United siap melayangkan tawaran senilai œ20 juta untuk penyerang Leicester CityJamie Vardy, demikian dilansir Daily Mail.
Penyerang internasional Inggris itu tampil luar biasa bersama The Foxes musim ini, dengan 24 golnya memainkan peranan penting dalam keberhasilan pasukan Claudio Ranieri menjuaraiLiga Primer Inggris.
Namun kini The Irons siap menjadikan pemain 29 tahun itu sebagai rekrutan besar di musim panas sebagaimana manajer Slaven Bilic tertarik mendatangkan penyerang tajam.
Vardy sendiri terikat kontrak dengan Leicester sampai Juni 2019.
"
5;http://www.goal.com/id-ID/news/1108/sepakbola-inggris/2016/05/12/23409672/gareth-barry-catat-rekor-baru-di-liga-primer-inggris?ICID=OP;12-Mei-16;Gareth Barry Catat Rekor Baru Di Liga Primer Inggris;"Gelandang veteran Everton Gareth Barry mencatatkan rekor baru di Liga Primer Inggris. Dalam hal ini, ia resmi menjadi pemain dengan catatan tampil sebagai starter terbanyak, yakni sebanyak 572 kali, usai diturunkan sejak menit awal dalam kekalahan 3-0 di Sunderland, Kamis (12/5) dini hari WIB.
Sebelumnya rekor itu dipegang oleh mantan kiper Liverpool, West Ham, Manchester City dan Portsmouth David James, yang mendulang 571 penampilan sebagai starter di era Liga Primer.
Barry, yang pernah memperkuat Inggris sebanyak 53 kali, mencatatkan debutnya di Liga Primer bersama Aston Villa pada 1998 silam.
Sang gelandang merapat ke Manchester City senilai œ12 juta pada 2009 lalu dan memenangkan Liga Primer serta Piala FA selama empat musimnya di Etihad Stadium.
Di musim ini, Barry mengemas empat assists dari 38 penampilannya untuk Everton di semua kompetisi, selagi kontraknya masih tersisa sampai Juni 2017.
"
6;http://teknologi.metrotvnews.com/news-teknologi/8N0qYWOb-demi-tingkatkan-layanan-telkom-pesan-5-ribu-skuter-listrik-buatan-its;11-Mei-16;Demi Tingkatkan Layanan, Telkom Pesan 5 Ribu Skuter Listrik Buatan ITS;"PT Telkom Indonesia (Persero) Tbk (Telkom) memesan 5 ribu skuter listrik atau GESITS produksi Institut Teknologi Sepuluh Nopember (ITS) Surabaya.

Hal tersebut diungkapkan Direktur Consumer Service Telkom Dian Rachmawan, saat melakukan pertemuan dengan Rektor ITS Prof Ir Joni Hermana MSc ES, PhD, di Ruang Rektor ITS, beberapa waktu lalu.
Dian Rachmawan mengatakan, Telkom  memiliki teknisi IndiHome yang sangat banyak dan para teknisi tersebut memerlukan kendaraan dengan spesivikasi seperti GESITS. Skuter listrik yang dipesannya ini nanti akan dimodifikasi sehingga memungkinkan teknisi IndiHome membawa peralatan kerja di bagasi motornya.

Dian berharap skuter listrik ini bisa lebih meningkatkan produktivitas tim teknisi IndiHome sehingga pelayanan kepada pelanggan menjadi lebih baik.

""Dengan skuter listrik, selain lebih ramah terhadap isu lingkungan akibat pemakaian bahan bakar, juga menghemat biaya,"" ujar Dian.
Dian Rachmawan yang merupakan alumnus Jurusan Teknik Elektro 1982 ITS menegaskan bahwa Telkom sebagai BUMN berkomitmen untuk mendukung pengembangan industri lokal dengan memesan kendaraan bermotor roda dua yang memiliki kandungan TKDN (Tingkat Komponen Dalam Negeri) hampir 100 persen.

Dia berharap, BUMN lain juga ikut mendukung industri lokal yang ada, agar perekonomian Indonesia semakin sehat. Untuk memastikan produk yang dipesannya, Dian melakukan kunjungan ke lokasi pembuatan skuter listrik  di Jurusan Teknik Mesin ITS.

Sementara itu, Rektor ITS Prof Joni Hermana MSc ES, PhD, menyampaikan terima kasih kepada Telkom karena telah memberikan kepercayan kepada ITS dengan  pemesanan 5 ribu GESITS.

Joni memaparkan bahwa dengan adanya pemesanan dengan kuantitas besar ini dapat memperkuat posisi Indonesia dan kesejahteraan ekonomi bangsa yang mandiri.

""Saya sebagai rektor ITS sangat senang dengan adanya pemesanan GESITS oleh Telkom ini, karena ini menunjukkan produk inovasi ITS telah mendapat kepercayaan konsumen kelas atas,"" tuturnya bangga.

Dikatakan Prof Joni, hal tersebut akan membawa dampak positif dan gairah luar biasa bagi para peneliti dan produsen lainnya di dalam negeri.
"
7;http://teknologi.metrotvnews.com/news-teknologi/VNnx6xJk-pangsa-pasar-android-naik-iphone-justru-turun;12-Mei-16;Pangsa Pasar Android Naik, iPhone Justru Turun;"Pangsa pasar Android di AS, Eropa dan Tiongkok terus naik. Di kuartal pertama 2016, pangsa pasar dari sistem operasi Google naik, seperti yang disebutkan oleh sebuah perusahaan peneliti, Worldpanel ComTech.

Di AS, pangsa pasar smartphone Android naik 7,3 persen menjadi 65,6 persen. Sementara di 5 negara Eropa -- Inggris, Jerman, Perancis, Italia dan Spanyol -- pangsa pasar Android naik 7,1 persen menjadi 75,6 persen. Di Tiongkok, pangsa pasar Android naik 5,9 persen menjadi 77 persen.
Namun, seperti yang disebutkan oleh CNET, sementara pangsa pasar Android naik, pangsa pasar iPhone justru turun. Pangsa pasar iPhone turun hampir di semua kawasan dalam kuartal satu 2016 jika dibandingkan dengan periode yang sama tahun lalu.
Di AS, pangsa pasar Apple turun 4,9 persen menjadi 31,6 persen. Di 5 negara Eropa, pangsa pasar Apple turun, meski tidak terlalu besar, yaitu turun sebesar 1,2 persen menjadi 18,9 persen. Di Tiongkok, pangsa pasar iPhone juga turun 5 persen menjadi 21,1 persen.

Bulan lalu, Apple melaporkan bahwa penjualan iPhone turun di kuartal satu 2016. Mereka juga memperkirakan, penjualan masih akan turun di kuartal ini.

Saat ini, vendor smartphone harus dapat menawarkan smartphone dengan fitur yang unik untuk menarik perhatian konsumen. Karena dibuat oleh banyak vendor, smartphone Android dapat tersedia dalam berbagai rentang harga. Sementara iPhone hanya dijual oleh Apple.

""Kali ini adalah pertumbuhan Android terbesar di 5 negara Eropa dalam lebih dari 2 tahun,"" kata Kantar Mobile Analyst, Lauran Guenveur. ""Selain itu, pertumbuhan ini tidak hanya muncul dari satu atau dua vendor, tapi dari berbagai merek, tergantung pada wilayah.""

Vendor smartphone yang lebih kecil mulai memberikan kontribusi pada pertumbuhan Android. Meskipun begitu, di Inggris, Samsung tetap menjadi merek yang dominan. Di AS, pertumbuhan Android datang dari Samsung, Motorola dan LG.

Namun, di negara-negara seperti Italia dan Perancis, yang sebelumnya menggunakan Windows Phone, masyarakat justru lebih memilih smartphone buatan Huawei, Wiko dan ASUS, yang menawarkansmartphone kelas menengah.

Saat ini, Apple memiliki satu varian baru dari iPhone, yaitu iPhone SE yang memang menargetkan pengguna smartphone kelas menengah.

""Pangsa pasar Android dapat turun jika permintaan akan iPhone SE tinggi,"" kata Guenveur. ""Penjualan iPhone SE terutama penting di Tiongkok, karena kesuksesan menjual smartphone kelas menengah akan menjadi penentu siapa yang jadi vendor nomor satu.""
"
8;http://teknologi.metrotvnews.com/news-teknologi/akW4843K-rombak-tampilan-instagram-punya-ikon-baru;12-Mei-16;Rombak Tampilan, Instagram Punya Ikon Baru;"Sekitar dua minggu lalu, muncul kabar yang menyebutkan bahwa Instagram akan merombak tampilan mereka. Sekarang, Instagram secara resmi melakukan perombakan desain pada aplikasi mereka. Aplikasi Instagram kini tampil dalam warna hitam-putih. 

Instagram menyebutkan, tampilan baru mereka ini seharusnya membuat fokus pengguna tertuju pada video dan foto yang ada, meski The Verge menyebutkan, tampilan baru dari Instagram ini tidak terlihat jauh berbeda dari antarmuka sebelumnya. Namun, karena Instagram kini tampil dalam warna hitam-putih, hal ini membuat foto Anda terlihat lebih mencolok.
Update untuk tampilan baru ini sudah tersedia untuk aplikasi Instagram di iOS dan Android. Selain mengubah tampilan, Instagram juga mengubah tampilan ikon mereka. Perubahan ikon ini tidak hanya berlaku untuk aplikasi Instagram, tapi juga aplikasi pendukung Instagram seperti Layout dan Hyperlapse.
""Ikon yang penuh warna adalah pintu menuju aplikasi Instagran, namun, setelah Anda berada dalam aplikasi, kami percaya warna seharusnya muncul dari foto dan video pengguna Instagram,"" kata Head of Design Instagram, Ian Spalter pada sebuah blog post. ""Kami menghilangkan warna dari aplikasi agar konten pengguna menjadi fokus utama.""
"
9;http://teknologi.metrotvnews.com/news-teknologi/dN6OdJpb-programmer-masih-jadi-pekerjaan-favorit-lulusan-it;10-Mei-16;Programmer Masih Jadi Pekerjaan Favorit Lulusan IT;"Jora Indonesia, situs agregator yang mengumpulkan informasi lowongan kerja melakukan sebuah analisis mengenai tren pekerjaan di bidang IT di Indonesia. Mereka lalu mengumpulkan data berdasarkan pencarian kata kunci yang dipakai oleh pengguna di situs mereka selama kuartal satu 2016.

Dari analisis ini, mereka menemukan bahwa di bidang IT, programmer masih menjadi pekerjaan yang paling banyak dicari. Programmer yang dimaksud di sini meliputi IT programmer dan Javaprogrammer. Kata kunci programmer dicari oleh sebanyak 23,15 persen pengguna. Sementara itu, total kunjungan ke situs Jora Indonesia mencapai sekitar 90.000 sesi.
Kata kunci kedua yang paling banyak dicari adalah SAP, yang dicari oleh 15,27 persen pengguna. Di posisi ketiga terdapat IT Manager (13,9 persen) dan posisi keempat diisi oleh Business Analyst (7,25 persen). Tiga kata kunci terakhir yang paling sering dicari adalah Web Developer (5,55 persen), Oracle (4,93 persen), dan Network Engineer (4,48 persen).
"
10;http://teknologi.metrotvnews.com/news-teknologi/akW4wjMK-melirik-potensi-pemanfaatan-teknologi-vr-di-indonesia;10-Mei-16;Melirik Potensi Pemanfaatan Teknologi VR di Indonesia;"Perkembangan dunia digital memang tengah berada di titik paling pesatnya akhir-akhir ini. Perkembangan tersebut ditandai dengan munculnya berbagai teknologi yang sebelumnya hanya sebuah impian semata, salah satunya adalah virtual reality. 

Kebangkitan teknologi ini ditandai dengan munculnya berbagai perangkat VR yang lebih terjangkau, dan lebih canggih dari sebelumnya seperti Oculus Rift dan HTC Vive. VR memang tengah menjadi sorotan dunia, namun bagaimana di Indonesia?
Presiden software developer Anantarupa, Ivan Chen, mengatakan bahwa Indonesia sebenarnya memiliki potensi yang sangat besar dalam pemanfaatan teknologi VR. Ia juga mengatakan bahwa teknologi VR masih dalam tahap awal perkembangannya, sehingga potensi penggarapannya masih sangat besar.

""Angkanya enggak ada. Tapi kalau berbicara potensi, teknologi ini memiliki potensi yang sangat besar,"" ujar Ivan kepadaMetrotvnews.com dalam acara Seminar Pengenalan Teknologi Virtual Reality di Jakarta hari ini, Selasa (10/5/2015).

""Teknologi ini (VR) masih dalam stage awal, jadi potensinya masih besar. Apalagi teknologi ini juga tidak hanya untuk game saja, tapi juga bisa diterapkan di berbagai bidang.""

Meski demikian, bukan berarti teknologi ini hadir tanpa hambatan. Menurut Ivan, hambatan utama dalam pengembangan teknologi ini adalah ketersediaan perangkatnya. Berbagai perangkat VR seperti Oculus Rift atau HTC Vive memang telah diumumkan dan dipasarkan di luar negeri, namun di Indonesia masih belum tersedia.

""Kita memang susah masukin barang (perangkat VR). Mungkin Indonesia belum dilirik sebagai marketkarena terkesan kita ini agak tertinggal dari yang lain,"" lanjut Ivan.

Agar Indonesia bisa dilirik sebagai salah satu pasar yang berpotensi di dunia, salah satu cara yang bisa dilakukan adalah memperbanyak karya dan konten buatan Indonesia dan memperkenalkannya ke luar negeri. Menurut Ivan, saat ini merupakan kesempatan yang tepat untuk menjajaki teknologi VR, mengingat VR masih dalam tahap awal perkembangannya sehingga masih memerlukan berbagai konten.

Teknologi VR juga akan semakin berkembang ke depannya dan adopsinya sudah merambah ke berbagai platform, termasuk platform mobile. Ivan sediri mengungkapkan bahwa ia ingin teknologi ini dapat dimanfaatkan di berbagai bidang, mulai dari hiburan, budaya, hingga industri dan pemerintahan. 

Ivan memang tampak sangat optimis dengan teknologi ini, namun semuanya kembali ke developeryang menjadi pembuat konten menggunakan teknologi ini. Potensi dan pasarnya telah ada, tinggal bagaimana konten lokal bisa dihadirkan dengan baik sehingga bisa diterima oleh masyarakat, baik lokal maupun internasional.
"
